DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	58	0	0	42.0225	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	58	0	0	42.6141 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2104	28	0	41.4368	0	0
UL	0.00698214	0	6	3	1	12	1	1	0	25224	28	0	40.5878 	0	0
UL	0.00723214	0	7	0	1	12	1	1	0	25224	28	0	40.6272 	0	0
UL	0.00748214	0	7	1	1	12	1	1	0	25224	28	0	40.6527 	0	0
UL	0.00773214	0	7	2	1	12	1	1	0	25224	28	0	40.6368 	0	0
DL	0.007875	0	7	3	1	6	1	1	0	12612	28	0	41.3427	0	0
UL	0.00798214	0	7	3	7	6	1	1	0	12612	28	0	41.3281 	0	0
DL	0.008125	0	8	0	1	6	1	1	0	12612	28	0	41.2702	0	0
UL	0.00823214	0	8	0	7	6	1	1	0	12612	28	0	41.3134 	0	0
DL	0.008375	0	8	1	1	6	1	1	0	12612	28	0	41.2548	0	0
UL	0.00848214	0	8	1	7	6	1	1	0	12612	28	0	41.1678 	0	0
DL	0.008625	0	8	2	1	6	1	1	0	12612	28	0	41.1895	0	0
UL	0.00873214	0	8	2	7	6	1	1	0	12612	28	0	41.29 	0	0
DL	0.008875	0	8	3	1	6	1	1	0	12612	28	0	41.2942	0	0
UL	0.00898214	0	8	3	7	6	1	1	0	12612	28	0	39.9308 	0	0
DL	0.009125	0	9	0	1	6	1	1	0	12612	28	0	39.9658	0	0
UL	0.00923214	0	9	0	7	6	1	1	0	12612	28	0	40.0534 	0	0
DL	0.009375	0	9	1	1	6	1	1	0	12612	28	0	40.0039	0	0
UL	0.00948214	0	9	1	7	6	1	1	0	12612	28	0	40.0027 	0	0
DL	0.009625	0	9	2	1	6	1	1	0	12612	28	0	39.9616	0	0
UL	0.00973214	0	9	2	7	6	1	1	0	12612	28	0	39.9512 	0	0
DL	0.009875	0	9	3	1	6	1	1	0	12612	28	0	39.8895	0	0
UL	0.00998214	0	9	3	7	6	1	1	0	12612	28	0	39.7772 	0	0
DL	0.010125	1	0	0	1	6	1	1	0	12612	28	0	40.0369	0	0
UL	0.0102321	1	0	0	7	6	1	1	0	12612	28	0	40.0179 	0	0
DL	0.010375	1	0	1	1	6	1	1	0	12612	28	0	40.0112	0	0
UL	0.0104821	1	0	1	7	6	1	1	0	12612	28	0	40.0781 	0	0
DL	0.010625	1	0	2	1	6	1	1	0	12612	28	0	40.0998	0	0
UL	0.0107321	1	0	2	7	6	1	1	0	12612	28	0	40.2672 	0	0
DL	0.010875	1	0	3	1	6	1	1	0	12612	28	0	40.1557	0	0
UL	0.0109821	1	0	3	7	6	1	1	0	12612	28	0	40.143 	0	0
DL	0.011125	1	1	0	1	6	1	1	0	12612	28	0	39.4772	0	0
UL	0.0112321	1	1	0	7	6	1	1	0	12612	28	0	39.5966 	0	0
DL	0.011375	1	1	1	1	6	1	1	0	12612	28	0	39.5237	0	0
UL	0.0114821	1	1	1	7	6	1	1	0	12612	28	0	39.5282 	0	0
DL	0.011625	1	1	2	1	6	1	1	0	12612	28	0	39.5	0	0
UL	0.0117321	1	1	2	7	6	1	1	0	12612	28	0	39.5091 	0	0
DL	0.011875	1	1	3	1	6	1	1	0	12612	28	0	39.5574	0	0
UL	0.0119821	1	1	3	7	6	1	1	0	12612	28	0	39.6243 	0	0
DL	0.012125	1	2	0	1	6	1	1	0	12612	28	0	38.5176	0	0
UL	0.0122321	1	2	0	7	6	1	1	0	12612	28	0	38.5027 	0	0
DL	0.012375	1	2	1	1	6	1	1	0	12612	28	0	38.5154	0	0
UL	0.0124821	1	2	1	7	6	1	1	0	12612	28	0	38.5222 	0	0
DL	0.012625	1	2	2	1	6	1	1	0	12612	28	0	38.5072	0	0
UL	0.0127321	1	2	2	7	6	1	1	0	12612	28	0	38.6021 	0	0
DL	0.012875	1	2	3	1	6	1	1	0	12612	28	0	38.5633	0	0
UL	0.0129821	1	2	3	7	6	1	1	0	12612	28	0	38.6176 	0	0
DL	0.013125	1	3	0	1	6	1	1	0	12612	28	0	38.5949	0	0
UL	0.0132321	1	3	0	7	6	1	1	0	12612	28	0	40.191 	0	0
DL	0.013375	1	3	1	1	6	1	1	0	12612	28	0	40.1751	0	0
UL	0.0134821	1	3	1	7	6	1	1	0	12612	28	0	40.1065 	0	0
DL	0.013625	1	3	2	1	6	1	1	0	12612	28	0	40.074	0	0
UL	0.0137321	1	3	2	7	6	1	1	0	12612	28	0	40.0889 	0	0
DL	0.013875	1	3	3	1	6	1	1	0	12612	28	0	40.1448	0	0
UL	0.0139821	1	3	3	7	6	1	1	0	12612	28	0	40.1456 	0	0
DL	0.014125	1	4	0	1	6	1	1	0	12612	28	0	40.1622	0	0
UL	0.0142321	1	4	0	7	6	1	1	0	12612	28	0	40.1089 	0	0
DL	0.014375	1	4	1	1	6	1	1	0	12612	28	0	40.5769	0	0
UL	0.0144821	1	4	1	7	6	1	1	0	12612	28	0	40.6221 	0	0
DL	0.014625	1	4	2	1	6	1	1	0	12612	28	0	40.6267	0	0
UL	0.0147321	1	4	2	7	6	1	1	0	12612	28	0	40.5389 	0	0
DL	0.014875	1	4	3	1	6	1	1	0	12612	28	0	40.6604	0	0
UL	0.0149821	1	4	3	7	6	1	1	0	12612	28	0	40.6725 	0	0
DL	0.015125	1	5	0	1	6	1	1	0	12612	28	0	40.7261	0	0
UL	0.0152321	1	5	0	7	6	1	1	0	12612	28	0	40.7264 	0	0
DL	0.015375	1	5	1	1	6	1	1	0	12612	28	0	40.5644	0	0
UL	0.0154821	1	5	1	7	6	1	1	0	12612	28	0	40.5713 	0	0
DL	0.015625	1	5	2	1	6	1	1	0	12612	28	0	40.5501	0	0
UL	0.0157321	1	5	2	7	6	1	1	0	12612	28	0	40.4736 	0	0
DL	0.015875	1	5	3	1	6	1	1	0	12612	28	0	40.5435	0	0
UL	0.0159821	1	5	3	7	6	1	1	0	12612	28	0	40.4621 	0	0
DL	0.016125	1	6	0	1	6	1	1	0	12612	28	0	40.405	0	0
UL	0.0162321	1	6	0	7	6	1	1	0	12612	28	0	40.4268 	0	0
DL	0.016375	1	6	1	1	6	1	1	0	12612	28	0	38.0491	0	0
UL	0.0164821	1	6	1	7	6	1	1	0	12612	28	0	38.1518 	0	0
DL	0.016625	1	6	2	1	6	1	1	0	12612	28	0	38.2186	0	0
UL	0.0167321	1	6	2	7	6	1	1	0	12612	28	0	38.1367 	0	0
DL	0.016875	1	6	3	1	6	1	1	0	12612	28	0	38.102	0	0
UL	0.0169821	1	6	3	7	6	1	1	0	12612	28	0	38.0981 	0	0
DL	0.017125	1	7	0	1	6	1	1	0	12612	28	0	38.0398	0	0
UL	0.0172321	1	7	0	7	6	1	1	0	12612	28	0	38.0872 	0	0
DL	0.017375	1	7	1	1	6	1	1	0	12612	28	0	38.1343	0	0
UL	0.0174821	1	7	1	7	6	1	1	0	12612	28	0	40.347 	0	0
DL	0.017625	1	7	2	1	6	1	1	0	12612	28	0	40.2958	0	0
UL	0.0177321	1	7	2	7	6	1	1	0	12612	28	0	40.2627 	0	0
DL	0.017875	1	7	3	1	6	1	1	0	12612	28	0	40.1871	0	0
UL	0.0179821	1	7	3	7	6	1	1	0	12612	28	0	40.1387 	0	0
DL	0.018125	1	8	0	1	6	1	1	0	12612	28	0	40.1078	0	0
UL	0.0182321	1	8	0	7	6	1	1	0	12612	28	0	40.1229 	0	0
DL	0.018375	1	8	1	1	6	1	1	0	12612	28	0	40.0588	0	0
UL	0.0184821	1	8	1	7	6	1	1	0	12612	28	0	40.1603 	0	0
DL	0.018625	1	8	2	1	6	1	1	0	12612	28	0	40.253	0	0
UL	0.0187321	1	8	2	7	6	1	1	0	12612	28	0	40.3608 	0	0
DL	0.018875	1	8	3	1	6	1	1	0	12612	28	0	40.3729	0	0
UL	0.0189821	1	8	3	7	6	1	1	0	12612	28	0	40.2754 	0	0
DL	0.019125	1	9	0	1	6	1	1	0	12612	28	0	40.1967	0	0
UL	0.0192321	1	9	0	7	6	1	1	0	12612	28	0	40.1268 	0	0
DL	0.019375	1	9	1	1	6	1	1	0	12612	28	0	40.1421	0	0
UL	0.0194821	1	9	1	7	6	1	1	0	12612	28	0	40.0918 	0	0
DL	0.019625	1	9	2	1	6	1	1	0	12612	28	0	40.4768	0	0
UL	0.0197321	1	9	2	7	6	1	1	0	12612	28	0	40.4766 	0	0
DL	0.019875	1	9	3	1	6	1	1	0	12612	28	0	40.3408	0	0
UL	0.0199821	1	9	3	7	6	1	1	0	12612	28	0	40.3237 	0	0
DL	0.00403571	0	4	0	1	1	1	1	0	58	0	0	40.5457	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	58	0	0	41.5468 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2104	28	0	41.6901	0	0
UL	0.00698214	0	6	3	1	12	1	1	0	25224	28	0	39.947 	0	0
UL	0.00723214	0	7	0	1	12	1	1	0	25224	28	0	39.9326 	0	0
UL	0.00748214	0	7	1	1	12	1	1	0	25224	28	0	39.9487 	0	0
UL	0.00773214	0	7	2	1	12	1	1	0	25224	28	0	39.9469 	0	0
DL	0.007875	0	7	3	1	6	1	1	0	12612	28	0	40.2253	0	0
UL	0.00798214	0	7	3	7	6	1	1	0	12612	28	0	40.2308 	0	0
DL	0.008125	0	8	0	1	6	1	1	0	12612	28	0	40.189	0	0
UL	0.00823214	0	8	0	7	6	1	1	0	12612	28	0	40.2217 	0	0
DL	0.008375	0	8	1	1	6	1	1	0	12612	28	0	40.2066	0	0
UL	0.00848214	0	8	1	7	6	1	1	0	12612	28	0	40.2137 	0	0
DL	0.008625	0	8	2	1	6	1	1	0	12612	28	0	40.234	0	0
UL	0.00873214	0	8	2	7	6	1	1	0	12612	28	0	40.2588 	0	0
DL	0.008875	0	8	3	1	6	1	1	0	12612	28	0	40.2505	0	0
UL	0.00898214	0	8	3	7	6	1	1	0	12612	28	0	40.6587 	0	0
DL	0.009125	0	9	0	1	6	1	1	0	12612	28	0	40.6083	0	0
UL	0.00923214	0	9	0	7	6	1	1	0	12612	28	0	40.61 	0	0
DL	0.009375	0	9	1	1	6	1	1	0	12612	28	0	40.6095	0	0
UL	0.00948214	0	9	1	7	6	1	1	0	12612	28	0	40.6529 	0	0
DL	0.009625	0	9	2	1	6	1	1	0	12612	28	0	40.6339	0	0
UL	0.00973214	0	9	2	7	6	1	1	0	12612	28	0	40.6522 	0	0
DL	0.009875	0	9	3	1	6	1	1	0	12612	28	0	40.6762	0	0
UL	0.00998214	0	9	3	7	6	1	1	0	12612	28	0	40.6887 	0	0
DL	0.010125	1	0	0	1	6	1	1	0	12612	28	0	39.6506	0	0
UL	0.0102321	1	0	0	7	6	1	1	0	12612	28	0	39.6177 	0	0
DL	0.010375	1	0	1	1	6	1	1	0	12612	28	0	39.6196	0	0
UL	0.0104821	1	0	1	7	6	1	1	0	12612	28	0	39.6327 	0	0
DL	0.010625	1	0	2	1	6	1	1	0	12612	28	0	39.6652	0	0
UL	0.0107321	1	0	2	7	6	1	1	0	12612	28	0	39.6873 	0	0
DL	0.010875	1	0	3	1	6	1	1	0	12612	28	0	39.6832	0	0
UL	0.0109821	1	0	3	7	6	1	1	0	12612	28	0	39.6685 	0	0
DL	0.011125	1	1	0	1	6	1	1	0	12612	28	0	41.9539	0	0
UL	0.0112321	1	1	0	7	6	1	1	0	12612	28	0	41.9647 	0	0
DL	0.011375	1	1	1	1	6	1	1	0	12612	28	0	41.9078	0	0
UL	0.0114821	1	1	1	7	6	1	1	0	12612	28	0	41.9289 	0	0
DL	0.011625	1	1	2	1	6	1	1	0	12612	28	0	41.8655	0	0
UL	0.0117321	1	1	2	7	6	1	1	0	12612	28	0	41.8021 	0	0
DL	0.011875	1	1	3	1	6	1	1	0	12612	28	0	41.788	0	0
UL	0.0119821	1	1	3	7	6	1	1	0	12612	28	0	41.7885 	0	0
DL	0.012125	1	2	0	1	6	1	1	0	12612	28	0	41.1271	0	0
UL	0.0122321	1	2	0	7	6	1	1	0	12612	28	0	41.1118 	0	0
DL	0.012375	1	2	1	1	6	1	1	0	12612	28	0	41.1157	0	0
UL	0.0124821	1	2	1	7	6	1	1	0	12612	28	0	41.1242 	0	0
DL	0.012625	1	2	2	1	6	1	1	0	12612	28	0	41.1145	0	0
UL	0.0127321	1	2	2	7	6	1	1	0	12612	28	0	41.123 	0	0
