DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00405357	0	4	0	1	2	1	1	0	58	0	0	36.8242	0	0
UL	0.00505357	0	5	0	1	2	1	1	0	58	0	0	26.049 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	1052	28	0	37.4249	0	0
DL	0.0342321	3	4	0	1	12	1	1	0	363	0	0	36.1759	0	0
DL	0.0344821	3	4	1	1	12	1	1	0	363	0	0	34.5677	0	0
DL	0.0347321	3	4	2	1	12	1	1	0	363	0	0	34.5489	0	0
DL	0.0349821	3	4	3	1	12	1	1	0	12612	28	0	34.5328	0	0
DL	0.0352321	3	5	0	1	12	1	1	0	12612	28	0	34.5094	0	0
DL	0.0354464	3	5	1	1	10	1	1	0	10511	28	0	36.7842	0	0
UL	0.0354821	3	5	1	11	2	1	1	0	58	0	0	26.7863 	0	0
DL	0.0356964	3	5	2	1	10	1	1	0	10511	28	0	36.7828	0	0
UL	0.0357321	3	5	2	11	2	1	1	0	58	0	0	26.7745 	0	0
DL	0.0359464	3	5	3	1	10	1	1	0	10511	28	0	36.7675	0	0
UL	0.0359821	3	5	3	11	2	1	1	0	58	0	0	26.7618 	0	0
DL	0.0362321	3	6	0	1	12	1	1	0	12612	28	0	36.7634	0	0
DL	0.0364821	3	6	1	1	12	1	1	0	12612	28	0	36.7573	0	0
DL	0.0367321	3	6	2	1	12	1	1	0	12612	28	0	35.8406	0	0
DL	0.0369643	3	6	3	1	11	1	1	0	11560	28	0	35.8558	0	0
UL	0.0369821	3	6	3	12	1	1	1	0	1052	28	0	25.862 	0	0
DL	0.0372143	3	7	0	1	11	1	1	0	11560	28	0	35.8465	0	0
UL	0.0372321	3	7	0	12	1	1	1	0	1052	28	0	25.8617 	0	0
DL	0.0374643	3	7	1	1	11	1	1	0	11560	28	0	35.8623	0	0
UL	0.0374821	3	7	1	12	1	1	1	0	1052	28	0	25.8507 	0	0
DL	0.0377321	3	7	2	1	12	1	1	0	12612	28	0	36.3837	0	0
DL	0.0377857	3	7	3	1	1	1	1	0	1052	28	0	36.4008	0	0
DL	0.0382321	3	8	0	1	12	1	1	0	12612	28	0	36.3966	0	0
DL	0.0384821	3	8	1	1	12	1	1	0	12612	28	0	36.4206	0	0
DL	0.0387143	3	8	2	1	11	1	1	0	11560	28	0	36.788	0	0
UL	0.0387321	3	8	2	12	1	1	1	0	1052	28	0	26.7682 	0	0
DL	0.0389643	3	8	3	1	11	1	1	0	11560	28	0	36.7936	0	0
UL	0.0389821	3	8	3	12	1	1	1	0	1052	28	0	26.7841 	0	0
DL	0.0392321	3	9	0	1	12	1	1	0	12612	28	0	36.802	0	0
DL	0.0394821	3	9	1	1	12	1	1	0	12612	28	0	36.7806	0	0
DL	0.0397321	3	9	2	1	12	1	1	0	12612	28	0	35.9436	0	0
DL	0.0399821	3	9	3	1	12	1	1	0	12612	28	0	35.9434	0	0
DL	0.0402321	4	0	0	1	12	1	1	0	12612	28	0	35.9266	0	0
DL	0.0404643	4	0	1	1	11	1	1	0	11560	28	0	35.9062	0	0
UL	0.0404821	4	0	1	12	1	1	1	0	1052	28	0	25.9198 	0	0
DL	0.0407143	4	0	2	1	11	1	1	0	11560	28	0	35.933	0	0
UL	0.0407321	4	0	2	12	1	1	1	0	1052	28	0	24.8512 	0	0
DL	0.0409643	4	0	3	1	11	1	1	0	11560	28	0	34.9319	0	0
UL	0.0409821	4	0	3	12	1	1	1	0	1052	28	0	24.8503 	0	0
DL	0.0412321	4	1	0	1	12	1	1	0	12612	28	0	34.9441	0	0
DL	0.0414821	4	1	1	1	12	1	1	0	12612	28	0	34.9592	0	0
DL	0.0417321	4	1	2	1	12	1	1	0	12612	28	0	34.9766	0	0
DL	0.0419821	4	1	3	1	12	1	1	0	12612	28	0	35.7747	0	0
DL	0.0422143	4	2	0	1	11	1	1	0	11560	28	0	35.7416	0	0
UL	0.0422321	4	2	0	12	1	1	1	0	1052	28	0	25.9823 	0	0
DL	0.0424643	4	2	1	1	11	1	1	0	11560	28	0	35.7356	0	0
UL	0.0424821	4	2	1	12	1	1	1	0	1052	28	0	25.9722 	0	0
DL	0.0427143	4	2	2	1	11	1	1	0	11560	28	0	35.7211	0	0
UL	0.0427321	4	2	2	12	1	1	1	0	1052	28	0	25.9655 	0	0
DL	0.0429821	4	2	3	1	12	1	1	0	12612	28	0	33.027	0	0
DL	0.0432321	4	3	0	1	12	1	1	0	12612	28	0	33.0344	0	0
DL	0.0434821	4	3	1	1	12	1	1	0	12612	28	0	33.0148	0	0
DL	0.0437321	4	3	2	1	12	1	1	0	12612	28	0	33.0063	0	0
DL	0.0439643	4	3	3	1	11	1	1	0	11560	28	0	35.8666	0	0
UL	0.0439821	4	3	3	12	1	1	1	0	1052	28	0	25.897 	0	0
DL	0.0442143	4	4	0	1	11	1	1	0	11560	28	0	35.8923	0	0
UL	0.0442321	4	4	0	12	1	1	1	0	1052	28	0	25.9019 	0	0
DL	0.0444643	4	4	1	1	11	1	1	0	11560	28	0	35.8943	0	0
UL	0.0444821	4	4	1	12	1	1	1	0	1052	28	0	25.8811 	0	0
DL	0.0447321	4	4	2	1	12	1	1	0	12612	28	0	35.8713	0	0
DL	0.0449821	4	4	3	1	12	1	1	0	12612	28	0	35.8405	0	0
DL	0.0452321	4	5	0	1	12	1	1	0	12612	28	0	36.7021	0	0
DL	0.0454821	4	5	1	1	12	1	1	0	12612	28	0	36.6961	0	0
DL	0.0457143	4	5	2	1	11	1	1	0	11560	28	0	36.7059	0	0
UL	0.0457321	4	5	2	12	1	1	1	0	1052	28	0	26.7012 	0	0
DL	0.0459643	4	5	3	1	11	1	1	0	11560	28	0	36.6999	0	0
UL	0.0459821	4	5	3	12	1	1	1	0	1052	28	0	26.6794 	0	0
DL	0.0462143	4	6	0	1	11	1	1	0	11560	28	0	36.6851	0	0
UL	0.0462321	4	6	0	12	1	1	1	0	1052	28	0	26.6427 	0	0
DL	0.0464821	4	6	1	1	12	1	1	0	12612	28	0	36.6626	0	0
DL	0.0467321	4	6	2	1	12	1	1	0	12612	28	0	36.6469	0	0
DL	0.0469821	4	6	3	1	12	1	1	0	12612	28	0	36.6383	0	0
DL	0.0472321	4	7	0	1	12	1	1	0	12612	28	0	36.6537	0	0
DL	0.0474643	4	7	1	1	11	1	1	0	11560	28	0	36.6522	0	0
UL	0.0474821	4	7	1	12	1	1	1	0	1052	28	0	26.6415 	0	0
DL	0.0477143	4	7	2	1	11	1	1	0	11560	28	0	36.6429	0	0
UL	0.0477321	4	7	2	12	1	1	1	0	1052	28	0	26.6335 	0	0
DL	0.0479643	4	7	3	1	11	1	1	0	11560	28	0	36.652	0	0
UL	0.0479821	4	7	3	12	1	1	1	0	1052	28	0	26.6437 	0	0
DL	0.0482321	4	8	0	1	12	1	1	0	12612	28	0	36.7692	0	0
DL	0.0484821	4	8	1	1	12	1	1	0	12612	28	0	36.7929	0	0
DL	0.0487321	4	8	2	1	12	1	1	0	12612	28	0	36.7885	0	0
DL	0.0489821	4	8	3	1	12	1	1	0	12612	28	0	36.7924	0	0
DL	0.0492143	4	9	0	1	11	1	1	0	11560	28	0	36.9402	0	0
UL	0.0492321	4	9	0	12	1	1	1	0	1052	28	0	26.984 	0	0
DL	0.0494643	4	9	1	1	11	1	1	0	11560	28	0	36.9719	0	0
UL	0.0494821	4	9	1	12	1	1	1	0	1052	28	0	26.9918 	0	0
DL	0.0497143	4	9	2	1	11	1	1	0	11560	28	0	36.9818	0	0
UL	0.0497321	4	9	2	12	1	1	1	0	1052	28	0	26.9711 	0	0
DL	0.0499821	4	9	3	1	12	1	1	0	12612	28	0	36.977	0	0
DL	0.0502321	5	0	0	1	12	1	1	0	12612	28	0	36.9837	0	0
DL	0.0504821	5	0	1	1	12	1	1	0	12612	28	0	35.2256	0	0
DL	0.0507321	5	0	2	1	12	1	1	0	12612	28	0	35.2379	0	0
DL	0.0509643	5	0	3	1	11	1	1	0	11560	28	0	35.2758	0	0
UL	0.0509821	5	0	3	12	1	1	1	0	1052	28	0	25.2938 	0	1.77636e-14
DL	0.0512143	5	1	0	1	11	1	1	0	11560	28	0	35.3025	0	0
UL	0.0512321	5	1	0	12	1	1	1	0	1052	28	0	25.3067 	0	3.55271e-14
DL	0.0514643	5	1	1	1	11	1	1	0	11560	28	0	36.2359	0	0
UL	0.0514821	5	1	1	12	1	1	1	0	1052	28	0	26.0601 	0	0
DL	0.0517321	5	1	2	1	12	1	1	0	12612	28	0	36.2507	0	0
DL	0.0519821	5	1	3	1	12	1	1	0	12612	28	0	36.2755	0	0
DL	0.0522321	5	2	0	1	12	1	1	0	12612	28	0	36.2608	0	0
DL	0.0524821	5	2	1	1	12	1	1	0	12612	28	0	36.4506	0	0
DL	0.0527143	5	2	2	1	11	1	1	0	11560	28	0	36.4585	0	0
