DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00405357	0	4	0	1	2	1	1	0	58	0	0	40.8063	0	0
UL	0.00505357	0	5	0	1	2	1	1	0	58	0	0	30.8445 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	1052	28	0	39.8364	0	0
UL	0.00698214	0	6	3	1	12	1	1	0	12612	28	0	30.3564 	0	0
UL	0.00723214	0	7	0	1	12	1	1	0	12612	28	0	30.3638 	0	0
UL	0.00748214	0	7	1	1	12	1	1	0	12612	28	0	30.3687 	0	0
UL	0.00773214	0	7	2	1	12	1	1	0	12612	28	0	30.3665 	0	0
DL	0.007875	0	7	3	1	6	1	1	0	6306	28	0	39.4993	0	0
UL	0.00798214	0	7	3	7	6	1	1	0	6306	28	0	29.5103 	0	0
DL	0.008125	0	8	0	1	6	1	1	0	6306	28	0	39.4891	0	0
UL	0.00823214	0	8	0	7	6	1	1	0	6306	28	0	29.5127 	0	0
DL	0.008375	0	8	1	1	6	1	1	0	6306	28	0	39.4891	0	0
UL	0.00848214	0	8	1	7	6	1	1	0	6306	28	0	29.4922 	0	0
DL	0.008625	0	8	2	1	6	1	1	0	6306	28	0	39.4808	0	0
UL	0.00873214	0	8	2	7	6	1	1	0	6306	28	0	29.5184 	0	0
DL	0.008875	0	8	3	1	6	1	1	0	6306	28	0	38.3046	0	0
UL	0.00898214	0	8	3	7	6	1	1	0	6306	28	0	28.2949 	0	0
DL	0.009125	0	9	0	1	6	1	1	0	6306	28	0	38.3064	0	0
UL	0.00923214	0	9	0	7	6	1	1	0	6306	28	0	28.3153 	0	0
DL	0.009375	0	9	1	1	6	1	1	0	6306	28	0	38.3138	0	0
UL	0.00948214	0	9	1	7	6	1	1	0	6306	28	0	28.3057 	0	0
